Артикул;Название;Изображения;"Длина спального места";"Длина макс";Длина;Высота;"Ширина стула";"Высота сиденья";"Ширина спального места";Ширина;"Высота стула";"Глубина стула";"Материал столешницы";"Материал сиденья";"Материал каркаса";Материал;"Цвет столешницы";"Цвет сиденья";"Цвет обивки";"Цвет металла";"Цвет каркаса";"Цвет дерева";Описание;Вес;Объем;"Страна происхождения";Производитель;"По раскладке";"Цена опт 1";"Цена опт 2";"Цена РРЦ";"EAS 1";"EAS 2";"Общий остаток";"Дата поступления"
44.43;"Стул ELIAS 44,43 (G093 Хром/ TR 500 айвори экокожа )";"https://mebelcity.com/upload/iblock/c7a/c7a9d5e7eb7422839cea80cd8426fc06.jpg https://mebelcity.com/upload/iblock/b09/b0985c41328c4fedb0e41ac12ce13575.jpg";;;;;48;48;;;90;58;;Экокожа;Металл;;;"Айвори TR 500";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе и в магазине.";7;0,18;Италия;"BONTEMPI CASA";;16400.00;16400.00;20500.00;;;4;
40,20;"Стул PAPERIK 40.20 (М313 сер-кор/ Z030 сер-кор Rectylon)";"https://mebelcity.com/upload/iblock/630/630852007788f747d29178c51cf027cb.jpg https://mebelcity.com/upload/iblock/389/38903c0bbe51ca1493d09d6486e9ecb3.jpg";;;;;46;46;;;86;54;;Полипропилен;Металл;;;Серо-коричневый;;;;;"Стулья упакованы по 2 штуки в 1 коробку. Отлично подходят для кухни. Легко моются. На складе и в магазине.";6;0,07;Италия;"BONTEMPI CASA";;8320.00;8320.00;10400.00;;;4;
44.52;"Стул VITTORIA 44.52 (М089 алюмин./ TCMA0102 фиолет, ткань Magu )";https://mebelcity.com/upload/iblock/81d/81d5281316a28404f302a28fa3b14fd4.jpg;;;;;44;48;;;86;54;;Ткань;;;;Фиолетовый;;;;;"На складе. Легкий компактный стул. Идеально подходит для кухни. ";7;0,2;Италия;"BONTEMPI CASA";;10560.00;11100.00;13200.00;8800.00;9666.00;6;
CS3357;"Кресло ELECTA CS/3357, A02 DENVER SAND, COMFORT 100 COMPACT, COMBIN.1300, LEG MT.P66 ";https://mebelcity.com/upload/iblock/333/333825b983d4d82f91ed832d4b443d7d.jpg;;;;;;;;;;;;Ткань;Металл;;;Бежевый;;;;;;;;Италия;CALLIGARIS;;77325.00;81200.00;90970.00;64437.00;70875.00;;
04.01;"Стул AIDA 04.01 (G093 хром/ TR501 беж., экокожа)";"https://mebelcity.com/upload/iblock/909/9094428349c03d41fc96e34f1b292294.jpg https://mebelcity.com/upload/iblock/0b5/0b53c537272e292528f2dcacb41f33b3.jpg";;;;;48;48;;;103;57;;Экокожа;Металл;;;"Бежевый TR 501";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";8;0,21;Италия;BONTEMPI;;17120.00;18000.00;21400.00;14266.00;15708.00;4;
44.43;"Стул ELIAS 44,43 (М312 песочный/ TR 501 беж. экокожа) ";"https://mebelcity.com/upload/iblock/378/378f9c048cc6a55a064e250040857f94.jpg https://mebelcity.com/upload/iblock/b7f/b7f7a4fcb6273dae3dd75bf993378310.jpg";;;;;48;48;;;90;58;;Экокожа;Металл;;;"Бежевый TR 501";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";7;0,18;Италия;BONTEMPI;;14000.00;14700.00;17500.00;11666.00;12833.00;4;
40,11;"Стул CLARA 40.11 (TR505 white with sand cordonet, экокожа)";"https://mebelcity.com/upload/iblock/d1a/d1a0dbc03d9f5174c175c35c8cdd8efb.jpg https://mebelcity.com/upload/iblock/fd9/fd983e2031ff955344019fe08203b98a.jpg https://mebelcity.com/upload/iblock/98e/98e480e632f08678288c48765f99f5a2.jpg";;;;;52;48;;;91;60;;Экокожа;"Металл в обивке";;;"Белый TR 505";;;;;"Cтул полностью в мягкой обивке белого цвета с контрастной окантовкой песочного цвета. На складе и в магазине.";10;0,38;Италия;BONTEMPI;;18080.00;19000.00;22600.00;15066.00;16583.00;3;
CS/1459P100;"Стул GAMERA CS/1459, NY P100 NYLON SKY BLUE";https://mebelcity.com/upload/iblock/b7a/b7a0ec1e2a746dbf8848bcd32c13cbb1.jpg;;;;;53;45;;;82;53;;;Полипропилен;;;;;;;;"<br />
Упакован - 2 штуки/ 1 коробка.";9;0,22;Италия;CALLIGARIS;;5850.00;6150.00;9750.00;4875.00;5375.00;4;
CS/1459P328;"Стул GAMERA CS/1459, NY P328 NYLON NOUGAT MATT ";https://mebelcity.com/upload/iblock/9c5/9c56ee18269caf0c2a048fad50c450d1.jpg;;;;;53;45;;;82;53;;;Полипропилен;;;;;;;;"Упакован - 2 штуки/ 1 коробка.";9;0,22;Италия;CALLIGARIS;;5850.00;6150.00;9750.00;4875.00;5375.00;2;
CS/10459P973;"Стул GAMERA CS/1459, NY P973 NYLON MATT MUSTURD YELLOW";https://mebelcity.com/upload/iblock/313/313de68e369814809ee8c043a1cc1d3f.jpg;;;;;53;45;;;82;53;;;Полипропилен;;;;;;;;"Упакован - 2 штуки/ 1 коробка.";9;0,22;Италия;CALLIGARIS;;5850.00;6150.00;9750.00;4875.00;5375.00;2;
